Traveler ID,Preference,Budget (SGD $),Days,Daily Touring Hours,Hotel Long,Hotel Lat,Total Budget (SGD $)
1,"[Shopping,Cultural]",661,5,"(8, 19)",103.836222,1.304917,1985
2,[Culinary],541,4,"(10, 21)",103.7675743,1.295986515,1625
3,"[Nature,Sporty]",442,3,"(12, 18)",103.991082,1.356530977,1328
4,[Family],646,5,"(9, 18)",103.8622691,1.288570162,1938
5,"[Nature,Sporty]",460,3,"(11, 19)",103.8246707,1.251545963,1382
6,[Family],455,3,"(9, 19)",103.836222,1.304917,1366
7,[Shopping],672,5,"(12, 20)",103.7675743,1.295986515,2016
8,[Family],348,2,"(9, 22)",103.991082,1.356530977,1046
9,[Family],544,4,"(10, 22)",103.8622691,1.288570162,1632
10,"[Nature,Sporty]",352,2,"(9, 18)",103.8246707,1.251545963,1058
11,"[Nature,Sporty]",554,4,"(12, 17)",103.836222,1.304917,1663
12,[Cultural],648,5,"(8, 17)",103.7675743,1.295986515,1945
13,"[Nature,Sporty]",360,2,"(12, 21)",103.991082,1.356530977,1081
14,[Cultural],470,3,"(12, 21)",103.8622691,1.288570162,1410
15,"[Nature,Sporty]",650,5,"(12, 17)",103.8246707,1.251545963,1950
16,"[Culinary,Family]",645,5,"(8, 19)",103.836222,1.304917,1935
17,[Culinary],368,2,"(10, 22)",103.7675743,1.295986515,1106
18,[Family],557,4,"(10, 19)",103.991082,1.356530977,1673
19,[Cultural],670,5,"(10, 21)",103.8622691,1.288570162,2011
20,"[Shopping,Nature]",462,3,"(10, 19)",103.8246707,1.251545963,1387
21,[Shopping],471,3,"(12, 16)",103.836222,1.304917,1414
22,[Shopping],656,5,"(9, 18)",103.7675743,1.295986515,1968
23,"[Cultural,Sporty,Family]",649,5,"(11, 17)",103.991082,1.356530977,1949
24,[Cultural],670,5,"(11, 20)",103.8622691,1.288570162,2012
25,"[Culinary,Cultural]",663,5,"(11, 18)",103.8246707,1.251545963,1990
26,[Culinary],663,5,"(9, 20)",103.836222,1.304917,1991
27,[Culinary],649,5,"(9, 18)",103.7675743,1.295986515,1947
28,[Shopping],567,4,"(11, 19)",103.991082,1.356530977,1702
29,"[Nature,Sporty]",365,2,"(10, 20)",103.8622691,1.288570162,1097
30,[Shopping],575,4,"(10, 20)",103.8246707,1.251545963,1725
31,"[Nature,Sporty]",369,2,"(11, 16)",103.836222,1.304917,1109
32,[Family],543,4,"(10, 18)",103.7675743,1.295986515,1629
33,[Shopping],462,3,"(10, 16)",103.991082,1.356530977,1386
34,[Culinary],539,4,"(11, 18)",103.8622691,1.288570162,1619
35,"[Nature,Sporty]",364,2,"(12, 18)",103.8246707,1.251545963,1092
36,[Cultural],450,3,"(10, 18)",103.836222,1.304917,1351
37,[Family],468,3,"(11, 20)",103.7675743,1.295986515,1404
38,[Shopping],641,5,"(11, 22)",103.991082,1.356530977,1924
39,[Family],462,3,"(12, 19)",103.8622691,1.288570162,1386
40,"[Nature,Sporty]",654,5,"(11, 21)",103.8246707,1.251545963,1964
41,"[Nature,Sporty]",651,5,"(8, 17)",103.836222,1.304917,1953
42,[Shopping],341,2,"(10, 20)",103.7675743,1.295986515,1025
43,[Cultural],464,3,"(9, 20)",103.991082,1.356530977,1392
44,"[Nature,Sporty]",646,5,"(11, 17)",103.8622691,1.288570162,1939
45,[Family],471,3,"(12, 16)",103.8246707,1.251545963,1415
46,"[Shopping,Sporty]",357,2,"(8, 20)",103.836222,1.304917,1072
47,[Cultural],464,3,"(12, 22)",103.7675743,1.295986515,1392
48,[Culinary],348,2,"(10, 18)",103.991082,1.356530977,1045
49,[Family],365,2,"(10, 21)",103.8622691,1.288570162,1097
50,"[Nature,Family]",660,5,"(12, 18)",103.8246707,1.251545963,1980
51,[Culinary],445,3,"(9, 16)",103.836222,1.304917,1335
52,[Shopping],360,2,"(11, 19)",103.7675743,1.295986515,1082
53,[Culinary],375,2,"(9, 18)",103.991082,1.356530977,1125
54,[Culinary],564,4,"(9, 17)",103.8622691,1.288570162,1693
55,"[Nature,Sporty]",575,4,"(8, 20)",103.8246707,1.251545963,1725
56,[Family],558,4,"(9, 19)",103.836222,1.304917,1674
57,[Family],441,3,"(11, 20)",103.7675743,1.295986515,1323
58,[Cultural],365,2,"(8, 16)",103.991082,1.356530977,1096
59,[Family],543,4,"(11, 20)",103.8622691,1.288570162,1629
60,[Shopping],672,5,"(10, 20)",103.8246707,1.251545963,2016
61,[Shopping],450,3,"(11, 16)",103.836222,1.304917,1352
62,"[Nature,Sporty]",352,2,"(9, 18)",103.7675743,1.295986515,1058
63,"[Nature,Sporty]",448,3,"(11, 20)",103.991082,1.356530977,1346
64,[Shopping],364,2,"(12, 16)",103.8622691,1.288570162,1094
65,[Family],552,4,"(9, 16)",103.8246707,1.251545963,1657
66,[Cultural],347,2,"(10, 18)",103.836222,1.304917,1043
67,[Culinary],473,3,"(8, 20)",103.7675743,1.295986515,1420
68,[Shopping],347,2,"(11, 18)",103.991082,1.356530977,1043
69,[Family],648,5,"(12, 22)",103.8622691,1.288570162,1945
70,[Family],370,2,"(10, 19)",103.8246707,1.251545963,1112
71,"[Nature,Sporty]",674,5,"(9, 20)",103.836222,1.304917,2022
72,[Culinary],560,4,"(11, 17)",103.7675743,1.295986515,1680
73,[Culinary],449,3,"(8, 22)",103.991082,1.356530977,1349
74,[Shopping],355,2,"(10, 17)",103.8622691,1.288570162,1065
75,"[Nature,Sporty]",550,4,"(9, 21)",103.8246707,1.251545963,1650
76,[Cultural],550,4,"(8, 16)",103.836222,1.304917,1650
77,[Cultural],544,4,"(11, 18)",103.7675743,1.295986515,1632
78,[Cultural],672,5,"(12, 18)",103.991082,1.356530977,2017
79,[Shopping],365,2,"(9, 20)",103.8622691,1.288570162,1095
80,[Shopping],460,3,"(9, 17)",103.8246707,1.251545963,1380
81,[Cultural],640,5,"(9, 21)",103.836222,1.304917,1921
82,[Family],557,4,"(11, 19)",103.7675743,1.295986515,1672
83,[Cultural],373,2,"(11, 17)",103.991082,1.356530977,1119
84,"[Cultural,Shopping,Sporty]",346,2,"(10, 17)",103.8622691,1.288570162,1039
85,[Family],655,5,"(10, 16)",103.8246707,1.251545963,1965
86,[Shopping],462,3,"(12, 16)",103.836222,1.304917,1387
87,"[Family,Sporty,Nature]",458,3,"(10, 16)",103.7675743,1.295986515,1376
88,[Shopping],370,2,"(12, 22)",103.991082,1.356530977,1111
89,[Cultural],365,2,"(12, 21)",103.8622691,1.288570162,1095
90,"[Family,Culinary]",674,5,"(11, 16)",103.8246707,1.251545963,2022
91,[Cultural],659,5,"(10, 20)",103.836222,1.304917,1977
92,"[Cultural,Sporty,Nature,Culinary]",447,3,"(11, 18)",103.7675743,1.295986515,1342
93,[Cultural],561,4,"(11, 16)",103.991082,1.356530977,1684
94,"[Culinary,Shopping]",543,4,"(11, 20)",103.8622691,1.288570162,1631
95,[Culinary],640,5,"(8, 17)",103.8246707,1.251545963,1922
96,"[Nature,Sporty]",539,4,"(11, 19)",103.836222,1.304917,1617
97,[Culinary],661,5,"(11, 19)",103.7675743,1.295986515,1985
98,[Culinary],673,5,"(11, 19)",103.991082,1.356530977,2020
