tourist_id,initial_objective,optimized_objective,improvement_percentage,initial_attractions,optimized_attractions,preferences,initial_money_spent,optimized_money_spent
3,0.5239,0.5239,0.0,3,3,"[""'Nature'"", ""'Sporty'""]",8.0,8.0
14,0.4655,0.4655,0.0,3,3,"[""'Cultural'""]",82.0,46.0
21,0.4655,0.4655,0.0,3,3,"[""'Shopping'""]",65.0,65.0
24,0.4655,0.4655,0.0,5,5,"[""'Cultural'""]",132.0,180.0
28,0.4229,0.4229,0.0,4,4,"[""'Shopping'""]",100.0,100.0
34,0.4655,0.4655,0.0,4,4,"[""'Culinary'""]",150.0,100.0
36,0.4655,0.4655,0.0,3,3,"[""'Cultural'""]",82.0,32.0
61,0.4655,0.4655,0.0,3,3,"[""'Shopping'""]",85.0,100.0
63,0.5239,0.5239,0.0,3,3,"[""'Nature'"", ""'Sporty'""]",8.0,8.0
64,0.4655,0.4655,0.0,2,2,"[""'Shopping'""]",50.0,65.0
66,0.4655,0.4655,0.0,2,2,"[""'Cultural'""]",62.0,82.0
74,0.4655,0.4655,0.0,2,2,"[""'Shopping'""]",50.0,65.0
86,0.4655,0.4655,0.0,3,3,"[""'Shopping'""]",65.0,65.0
89,0.4655,0.4655,0.0,2,2,"[""'Cultural'""]",62.0,62.0
94,0.5052,0.5052,0.0,4,4,"[""'Culinary'"", ""'Shopping'""]",100.0,105.0
97,0.4498,0.4498,0.0,5,5,"[""'Culinary'""]",150.0,150.0
98,0.4243,0.4243,0.0,5,5,"[""'Culinary'""]",150.0,150.0
100,0.4655,0.4655,0.0,2,2,"[""'Culinary'""]",50.0,20.0
