tourist_id,quick_repair_avg_objective,alns_replan_avg_objective,obj_diff,quick_repair_avg_attractions,alns_replan_avg_attractions,preferences,alns_avg_stability,alns_avg_proximity
91,0.4816,-0.6548,1.1364,0.4816,-0.6548,"[""'Cultural'""]",0.6666666666666666,0.9780333333333333
24,0.4655,-0.6647,1.1301999999999999,0.4655,-0.6647,"[""'Cultural'""]",0.6666666666666666,0.9789333333333333
78,0.4283,-0.6803,1.1086,0.4283,-0.6803,"[""'Cultural'""]",0.6666666666666666,0.9730666666666666
16,0.6293,0.0997,0.5296,0.6293,0.0997,"[""'Culinary'"", ""'Family'""]",0.6190333333333333,0.7429666666666667
41,0.5371,0.048,0.48910000000000003,0.5371,0.048,"[""'Nature'"", ""'Sporty'""]",0.6666666666666666,0.8644333333333334
23,0.5159,0.0274,0.48850000000000005,0.5159,0.0274,"[""'Cultural'"", ""'Sporty'"", ""'Family'""]",0.7333333333333334,0.8753666666666667
92,0.5141,0.0258,0.4883,0.5141,0.0258,"[""'Cultural'"", ""'Sporty'"", ""'Nature'"", ""'Culinary'""]",0.7778,0.8664333333333333
69,0.4623,-0.0174,0.4797,0.4623,-0.0174,"[""'Family'""]",0.6666666666666666,0.8849999999999999
19,0.4818,0.0243,0.4575,0.4818,0.0243,"[""'Cultural'""]",0.6666666666666666,0.964
90,0.4817,0.0324,0.44930000000000003,0.4817,0.0324,"[""'Family'"", ""'Culinary'""]",0.7333333333333334,0.9638666666666666
20,0.4488,0.0007,0.4481,0.4488,0.0007,"[""'Shopping'"", ""'Nature'""]",0.7778,0.8664333333333333
85,0.4574,0.02,0.43739999999999996,0.4574,0.02,"[""'Family'""]",0.7333333333333334,0.9663
97,-1.2326,-1.3461,0.11350000000000016,-1.2326,-1.3461,"[""'Culinary'""]",0.6666666666666666,0.9958666666666667
98,-1.2565,-1.3545,0.09800000000000009,-1.2565,-1.3545,"[""'Culinary'""]",0.6666666666666666,0.9958666666666667
